area,perimeter,height,width,label
221.5,72.75289993286133,129,319,2
232.0,14.125483322143555,129,319,2
265.5,25.656854152679443,149,319,2
236.0,13.988224983215332,149,320,2
190.0,195.27921867370605,149,320,2
240.0,407.78888297080994,149,320,2
225.5,2.0,149,320,2
230.0,446.6790435791016,149,320,2
232.5,23.176449966430663,149,320,2
213.0,11.2,149,320,2
238.0,580.3054488658905,149,359,2
198.5,221.82337446212767,242,359,2
201.5,3.414213538169861,242,359,2
195.0,88.09991216659546,242,359,2
224.5,30.998989200592042,242,359,2
219.0,3.95979790687561,242,359,2
232.0,139.40672388076783,242,359,2
207.5,259.7409492492676,242,359,2
245.5,38.82842707633972,242,359,2
224.0,245.7291735649109,242,359,2
222.0,0.0,242,359,2
203.0,224.78216304779053,242,359,2
219.5,187.3194211959839,242,359,2
232.5,13.51959581375122,242,359,2
221.5,297.806129693985,242,359,2
214.5,224.5076467514038,242,359,2
190.0,338.3919152021408,242,359,2
194.5,7.725483322143555,242,359,2
213.5,354.57568097114563,242,359,2
199.5,254.35861186981202,242,359,2
222.0,292.79191637039185,242,359,2
224.0,29.964674949645996,242,359,2
224.5,190.7336341381073,261,359,2
226.5,322.91882741451263,261,359,2
243.5,28.02497808933258,261,359,2
224.0,95.60285611152649,261,359,2
237.0,19.976449966430664,261,359,2
246.0,251.7880491256714,261,359,2
230.0,476.27416586875916,261,359,2
219.0,296.84876956939695,261,359,2
194.0,7.91959581375122,261,359,2
271.5,549.124959564209,261,359,2
215.5,359.8144557952881,261,359,2
224.5,2.8,261,359,2
219.5,7.725483322143555,261,359,2
240.0,285.92328786849976,261,359,2
195.0,241.32084786891937,265,359,2
208.0,230.6331286430359,265,359,2
230.0,6.14558436870575,265,359,2
204.5,358.21100635528563,265,359,2
264.5,100.23717069625854,265,359,2
211.0,13.285281229019166,265,359,2
229.5,403.8893904685974,265,359,2
221.0,325.0089870929718,265,359,2
197.5,180.61159954071044,265,359,2
193.0,11.656854152679443,265,359,2
185.0,210.1547451019287,265,359,2
216.5,314.5624777793884,265,359,2
208.5,162.7675308704376,265,359,2
235.5,792.0033418655396,265,366,2
213.0,243.80613052845,265,366,2
226.5,211.25423970222474,265,366,2
218.5,405.00553665161135,265,366,2
216.0,195.77484633922577,265,366,2
235.5,150.00083475112916,265,366,2
197.5,120.29402456283569,265,366,2
230.5,5.794112491607666,265,366,2
233.0,253.42135314941407,265,366,2
244.5,241.47820796966553,265,366,2
212.5,129.9508786201477,265,366,2
213.5,2.8,265,366,2
204.5,303.11983716487885,265,366,2
230.0,869.9956077575683,265,366,2
262.0,272.7939392089844,265,366,2
203.0,236.28998365402222,265,366,2
242.0,59.11269783973694,265,366,2
228.5,284.09039986133575,265,366,2
198.0,3.414213538169861,265,366,2
230.5,299.1614669561386,265,366,2
221.0,240.1860279083252,265,366,2
251.0,265.3978042602539,265,366,2
238.5,392.5799674987793,265,366,2
213.0,383.0193318128586,265,366,2
242.5,8.876955199241639,265,366,2
229.5,10.719595813751221,265,366,2
221.5,339.79376277923586,265,366,2
212.5,18.376449966430663,265,366,2
212.5,12.2911687374115,265,366,2
220.0,7.656854152679443,265,366,2
230.5,210.84246547222136,265,366,2
223.5,312.65465726852415,265,366,2
202.5,0.0,265,366,2
206.5,4.779898953437805,265,366,2
219.5,289.67232036590576,265,366,2
190.0,149.62236380577087,265,366,2
206.5,237.77913122177125,265,366,2
227.5,6.4,265,366,2
219.0,361.1275722742081,265,366,2
238.5,258.8840947151184,265,366,2
187.0,20.82842707633972,265,366,2
214.5,2.0,265,366,2
222.5,0.0,265,366,2
225.5,3.414213538169861,265,366,2
192.0,247.87820854187012,265,366,2
239.5,278.6193339347839,265,366,2
234.5,291.1115113258362,265,366,2
228.0,223.6639940738678,265,366,2
215.0,139.91757488250732,265,366,2
207.5,12.331370830535889,265,366,2
218.0,314.2879622459412,265,366,2
232.0,242.8840962409973,265,366,2
211.5,220.17627420425416,265,366,2
201.5,14.982337474822998,265,366,2
214.5,22.03675310611725,265,366,2
233.5,0.0,265,366,2
254.0,310.07029991149903,265,366,2
222.0,957.7991219520569,265,366,2
227.0,127.56610300540925,265,366,2
210.0,312.1527244567871,265,366,2
208.0,10.828427076339722,265,366,2
219.5,245.5807341337204,265,366,2
249.0,11.588224983215332,265,366,2
228.5,23.216652059555052,265,366,2
234.0,147.03514981269836,265,366,2
251.5,60.76955199241638,265,366,2
245.5,357.71537799835204,265,366,2
241.5,220.9041963815689,265,366,2
252.0,292.71151132583617,265,366,2
208.0,602.0607882738113,265,366,2
209.0,434.38787426948545,265,366,2
230.0,245.6424648284912,265,366,2
219.0,289.4782075881958,265,366,2
181.0,193.13708238601686,265,366,2
245.5,4.0,265,366,2
215.5,5.462741661071777,265,366,2
218.0,279.7311944961548,265,366,2
204.0,238.0036916732788,265,366,2
