area,perimeter,height,width,label
212,10.59411249,251,142,1
219.5,11.65685415,251,142,1
221.5,72.75289993,251,319,1
252.5,102.6676187,251,319,1
214,314.0605458,251,319,1
229,7.511269784,251,319,1
232,14.12548332,251,319,1
206.5,184.0057115,251,319,1
229,35.43919163,251,319,1
243,539.3641465,251,319,1
265.5,25.65685415,251,319,1
236,13.98822498,251,320,1
242.5,46.15878744,251,320,1
215,334.9188277,251,320,1
220.5,15.06274166,251,320,1
218,23.89949477,251,320,1
237.5,311.2820758,251,320,1
210,336.8487719,251,320,1
237.5,0,251,320,1
449.5,19.45929267,251,320,1
184.5,204.3502873,251,320,1
190,195.2792187,251,320,1
194,334.4321182,251,320,1
197.5,268.9791302,251,320,1
276.5,5.6,251,320,1
240,407.788883,251,320,1
252,14.33969686,277,320,1
216,528.2790414,277,320,1
189,196.7718174,277,331,1
225.5,2,277,331,1
234.5,242.7175749,277,331,1
199.5,36.11858535,277,331,1
270,20.98233747,277,331,1
248,7.656854153,277,331,1
240.5,169.8469248,277,331,1
216.5,163.0233755,277,331,1
202.5,10.82842708,277,331,1
195.5,185.2507908,277,331,1
219,204.1762741,277,331,1
214.5,422.9188272,277,331,1
222,56.36467495,277,331,1
230,446.6790436,277,331,1
223.5,1.697056246,277,331,1
243.5,8.8,277,331,1
267.5,3.414213538,277,331,1
200,2.8,277,331,1
228.5,4.4,277,331,1
223.5,240.3703869,277,331,1
217.5,311.0193318,277,331,1
228.5,270.7350619,277,331,1
233.5,208.474341,277,331,1
224.5,260.8111821,277,331,1
216,250.5340499,277,331,1
233.5,56.67939372,277,331,1
213,53.84406853,277,331,1
229,49.77888832,277,331,1
197.5,3.6,277,331,1
215.5,257.4782084,277,331,1
911,454.8662567,277,331,1
195,279.282076,277,331,1
241.5,521.6059547,277,331,1
245.5,341.9232865,277,331,1
271,0,277,331,1
227,41.09116874,277,331,1
202,360.7212674,277,331,1
229.5,305.4311091,277,331,1
186,54.4,277,331,1
157.5,60.72792184,277,331,1
198.5,10.92548332,277,331,1
216,30.65929267,277,331,1
193,302.5791294,277,331,1
233.5,444.4898067,277,331,1
241.5,6.759797907,277,331,1
218.5,2.8,277,331,1
219.5,24.23919163,277,331,1
224.5,405.2467493,277,331,1
199,20.89705625,277,331,1
230.5,4,277,331,1
190,0,277,331,1
209,391.9482666,277,331,1
207.5,154.8944422,277,331,1
177.5,78.98233747,277,331,1
184.5,239.1488576,277,331,1
228.5,4.828427076,277,331,1
232.5,329.303605,277,331,1
232,527.3523759,277,331,1
215.5,355.0672719,277,331,1
198,270.0904002,277,331,1
222,242.7100844,277,331,1
208.5,263.6369963,277,331,1
191,31.33380935,277,331,1
194.5,149.4587008,277,333,1
232.5,23.17644997,277,333,1
213,11.2,277,333,1
242,22.9539104,277,333,1
267,323.6134461,277,333,1
255,0,277,333,1
238,580.3054489,277,359,1
208,300.4369962,277,359,1
215.5,378.8599517,277,359,1
227.5,336.8016715,277,359,1
198.5,221.8233745,277,359,1
220.5,2.731370831,277,359,1
216.5,226.9116874,277,359,1
241,33.31370831,277,359,1
201.5,3.414213538,277,359,1
195,88.09991217,277,359,1
221,2.4,277,359,1
222,241.8331292,277,359,1
223.5,269.6958696,277,359,1
248,218.1277468,277,359,1
212.5,230.1978042,277,359,1
217,279.7056258,277,359,1
243.5,8.194112492,277,359,1
208,5.091168737,277,359,1
227,138.4126102,277,359,1
208,267.605119,277,359,1
228.5,6.125483322,277,359,1
236,5.2,277,359,1
224.5,30.9989892,277,359,1
229,57.94112449,277,359,1
199.5,0,277,359,1
206,186.9311954,277,359,1
232,235.5468376,277,359,1
209.5,236.6345593,277,359,1
241,20.48528123,277,359,1
203.5,6.788224983,277,359,1
234,141.9439807,277,359,1
216.5,124.9734181,277,359,1
211.5,124.6018453,277,359,1
236,7.491168737,277,359,1
224.5,271.135063,277,359,1
231,11.58822498,277,359,1
247.5,18.82842708,277,359,1
301,12,277,359,1
219,3.959797907,277,359,1
231,0,277,359,1
245.5,29.23675311,277,359,1
245.5,13.51959581,277,359,1
229,224.6213544,277,359,1
232,139.4067239,277,359,1
229.5,266.803692,277,359,1
235,348.2325364,277,359,1
201,2.262741661,277,361,1
205,1020.423443,277,361,1
234,12.8,277,365,1
215.5,279.636995,277,365,1
234,22.4,277,365,1
235,147.2694646,277,365,1
203,281.123288,277,365,1
207.5,259.7409492,277,365,1
200.5,295.3291748,277,365,1
253.5,3.414213538,277,365,1
245.5,38.82842708,277,365,1
241,4.097056246,277,365,1
237,4,277,365,1
193.5,252.0154675,277,365,1
217.5,163.8719039,277,365,1
210,55.78233747,277,365,1
214,40.77644997,277,365,1
218.5,313.2619743,277,365,1
224,245.7291736,277,365,1
222,0,277,365,1
212.5,244.0154651,277,365,1
209,0,277,365,1
203,224.782163,277,365,1
219.5,187.3194212,277,365,1
235,253.260547,277,365,1
213,0,277,365,1
217.5,7.725483322,277,365,1
211,245.9232878,277,365,1
232.5,13.51959581,277,365,1
321.5,33.35878744,277,365,1
213,231.0213534,277,365,1
216.5,199.6507907,277,365,1
241,189.7998247,277,365,1
221.5,297.8061297,277,365,1
230.5,298.2213532,277,365,1
213,293.809579,277,365,1
211,282.4924213,277,365,1
222.5,233.5919149,277,365,1
222,318.6761857,277,365,1
214.5,224.5076468,277,365,1
224.5,255.248771,277,365,1
196.5,386.2879625,277,365,1
238.5,262.3115123,277,365,1
266.5,137.6223649,277,365,1
239.5,2.4,277,365,1
252.5,1.6,277,365,1
260,260.2428834,277,365,1
225.5,178.6483523,277,365,1
241,13.65685415,277,365,1
217,272.929174,277,365,1
200,192.05424,277,365,1
228.5,8.828427076,277,365,1
214,386.9202561,277,365,1
215.5,262.746838,277,365,1
215.5,265.4782087,277,365,1
227.5,4,277,365,1
232,59.49747479,277,365,1
190,338.3919152,277,365,1
229.5,175.4601279,277,365,1
203.5,298.6345578,277,365,1
194.5,6.125483322,277,365,1
233.5,284.4369959,277,365,1
220,293.374254,277,365,1
188,149.5925102,277,365,1
228,276.9860303,277,365,1
235.5,4.525483322,277,365,1
214.5,331.8741663,277,365,1
205,316.7496946,277,365,1
200.5,214.1409492,277,365,1
225,206.1644991,277,365,1
229.5,329.9025948,277,365,1
223,3.2,277,365,1
215,704.3720587,277,365,1
210,9.188224983,277,365,1
206,197.7644998,277,365,1
209.5,0,277,365,1
201.5,363.5025923,277,365,1
208,462.475176,277,365,1
194.5,7.725483322,277,365,1
219.5,736.1779465,277,365,1
199.5,241.752725,277,365,1
199,331.4290891,277,365,1
213.5,354.575681,277,365,1
212,525.5657524,277,365,1
245,86.74112492,277,365,1
241.5,8.8,277,365,1
229,8.194112492,277,365,1
245.5,2.8,277,365,1
199.5,254.3586119,277,365,1
222,292.7919164,277,365,1
236,270.4723204,277,365,1
224,29.96467495,277,365,1
221.5,234.2213548,277,365,1
205.5,282.1909066,277,365,1
203,0,277,365,1
224.5,190.7336341,277,365,1
235.5,49.74701242,277,365,1
222,283.7742543,277,365,1
221.5,47.79898953,277,365,1
226.5,322.9188274,277,365,1
239,522.2853482,277,365,1
224,419.1172245,277,365,1
205,476.8059544,277,365,1
203,347.6467494,277,365,1
237,5.091168737,277,365,1
203,221.0331298,277,365,1
243.5,28.02497809,277,365,1
224,95.60285611,277,365,1
227,2.8,277,365,1
237,19.97644997,277,365,1
225.5,6.594112492,277,365,1
234.5,2.4,277,365,1
238.5,270.5056248,277,365,1
230,250.7232862,277,365,1
216,341.1614681,277,365,1
207.5,529.4790429,277,365,1
237.5,254.3919159,277,365,1
240,258.9978041,277,365,1
202,218.382162,277,365,1
244.5,418.7956068,277,365,1
246,251.7880491,277,365,1
221,205.3076464,277,365,1
501,416.7878742,277,365,1
189.5,0,277,365,1
210,3.414213538,277,365,1
203,10.4,277,365,1
230,476.2741659,277,365,1
227.5,11.65685415,277,365,1
219,296.8487696,277,365,1
238.5,452.4427055,277,365,1
219.5,228.6615552,277,365,1
243,299.6051196,277,365,1
239.5,33.65685415,277,365,1
239.5,5.656854153,277,365,1
198.5,1.6,277,365,1
197.5,219.5135324,277,365,1
194,7.919595814,277,365,1
207,17.67350621,277,365,1
191.5,715.8993856,277,365,1
284,32.83330412,277,365,1
212,369.5115115,277,365,1
233,393.7084811,277,365,1
242,65.61807995,277,365,1
215,303.7472535,277,365,1
225,454.7456506,277,365,1
237.5,4.779898953,277,365,1
271.5,549.1249596,277,365,1
187,5.794112492,277,365,1
194.5,14.83675311,277,365,1
189.5,2.4,277,365,1
205.5,42.18376648,277,365,1
183,1.6,277,365,1
222.5,300.7919161,277,365,1
215.5,359.8144558,277,365,1
207,8.73969686,277,365,1
222.5,2.4,277,365,1
249.5,20.77644997,277,365,1
248.5,321.3507054,277,365,1
217.5,313.0428846,277,365,1
237,404.1819859,277,365,1
224.5,2.8,277,365,1
222,310.6761869,277,365,1
252.5,5.2,277,365,1
220,400.9084803,254,154,2
218,279.462983,254,159,2
212.5,210.6719035,254,307,2
243.5,8.662741661,254,307,2
226,17.32548332,254,307,2
219.5,7.725483322,254,313,2
240,285.9232879,254,321,2
226,3.2,254,321,2
217.5,7.656854153,254,321,2
217,317.9482656,254,321,2
214,4.779898953,254,321,2
218.5,272.1860286,254,321,2
257,45.96467476,254,321,2
240.5,8.876955199,254,321,2
213.5,2.4,254,321,2
195,241.3208479,265,321,2
208,230.6331286,265,321,2
225,0,265,321,2
199,138.9380931,269,321,2
210,5.462741661,269,321,2
198.5,306.26441,269,321,2
238.5,0,269,321,2
236.5,11.2,269,321,2
225,1000.7051,269,321,2
230,6.145584369,269,321,2
205.5,430.5320312,269,321,2
204.5,358.2110064,269,321,2
264.5,100.2371707,269,321,2
247.5,0,269,321,2
237.5,46.88528123,269,321,2
221.5,272.0252211,269,321,2
260.5,219.8650049,269,321,2
215,6.848528123,269,321,2
211.5,185.2507906,269,321,2
211,13.28528123,269,321,2
242.5,0,269,321,2
213.5,306.5555816,269,321,2
220,16.38822498,269,321,2
229.5,252.8424645,269,326,2
247,18.87350621,269,326,2
228,242.1527242,269,326,2
229.5,403.8893905,269,326,2
229,219.0782068,269,326,2
200.5,138.0410374,269,326,2
199,7.511269784,269,326,2
207.5,21.77056246,269,326,2
221,325.0089871,269,326,2
233.5,9.325483322,269,326,2
228.5,57.27838326,269,326,2
237.5,409.7472548,269,326,2
224,8.194112492,269,326,2
207,12.48528123,269,326,2
220,2.8,269,326,2
240.5,262.666433,269,326,2
197.5,2.8,269,326,2
214,4.779898953,269,326,2
205,349.0491868,269,326,2
225.5,2.8,269,326,2
213.5,184.0057123,269,326,2
197.5,180.6115995,269,326,2
223.5,25.64507914,269,326,2
248.5,81.19797907,269,326,2
233,19.49116874,269,326,2
203.5,163.5807335,269,326,2
200.5,2,269,326,2
228.5,384.9604583,269,326,2
223,0,269,326,2
221.5,8,269,326,2
221.5,226.6899834,269,326,2
204.5,784.1391709,269,326,2
193,132.6469245,269,326,2
215,0,269,326,2
210.5,901.2561517,269,326,2
210,294.6331292,269,326,2
197,376.139521,269,326,2
217,280.4134447,269,326,2
178.5,33.89116874,269,326,2
235,333.0609634,269,326,2
206,203.5821611,269,331,2
229,301.2605461,269,331,2
196,900.0214214,269,339,2
201,4.779898953,269,339,2
193,11.65685415,269,339,2
185,210.1547451,269,339,2
200.5,232.8355672,269,339,2
208,21.85096664,269,339,2
214.5,105.7332153,269,339,2
208,3.2,269,339,2
212.5,2.4,269,339,2
240,137.1439809,269,339,2
215.5,340.2914118,269,339,2
198,119.2430582,269,339,2
184,167.5175749,269,339,2
216,387.5462443,269,339,2
216.5,314.5624778,269,339,2
218,283.9683661,269,339,2
212.5,517.0250451,269,339,2
219.5,167.1557561,269,361,2
208.5,162.7675309,269,361,2
205.5,291.0615553,269,361,2
219.5,762.5876983,269,361,2
217,161.4719028,269,361,2
230,149.0871266,269,361,2
222.5,258.5056244,269,361,2
230.5,252.597803,269,361,2
229.5,157.5058003,269,361,2
229,217.9468369,269,361,2
205.5,357.060963,269,361,2
235.5,792.0033419,269,366,2
228,646.2813079,269,366,2
223.5,325.1330401,269,366,2
214,219.4802284,269,366,2
213,243.8061305,269,366,2
226.5,211.2542397,269,366,2
239,82.40285597,269,366,2
239.5,10,269,366,2
357,55.71858518,269,366,2
253.5,291.2252207,269,366,2
230.5,299.3860302,269,366,2
232.5,472.6672686,269,366,2
218.5,405.0055367,269,366,2
216.5,276.3232857,269,366,2
226,237.7291755,269,366,2
237,13.78233747,269,366,2
216,195.7748463,269,366,2
216.5,252.2428817,269,366,2
273.5,263.7472552,269,366,2
235.5,150.0008348,269,366,2
217,51.75878744,269,366,2
197.5,120.2940246,269,366,2
218,4.828427076,269,366,2
230.5,5.794112492,269,366,2
233,253.4213531,269,366,2
251,444.0260566,269,366,2
244.5,241.478208,269,366,2
212.5,129.9508786,269,366,2
224.5,393.7084821,269,366,2
209.5,259.5468374,269,366,2
242,0,269,366,2
240.5,258.44877,269,366,2
221,247.9586118,269,366,2
242,308.9860283,269,366,2
244.5,374.1084797,269,366,2
213.5,2.8,269,366,2
204.5,303.1198372,269,366,2
230,811.2504399,269,366,2
209.5,15.45096664,269,366,2
230,869.9956078,269,366,2
202.5,287.0213542,269,366,2
213,4.097056246,269,366,2
256.5,2.8,269,366,2
214.5,3.414213538,269,366,2
262,272.7939392,269,366,2
202.5,5.794112492,269,366,2
205.5,362.3746707,269,366,2
213.5,231.2958696,269,366,2
231.5,484.0461558,269,366,2
229,41.43919163,269,366,2
200,242.1076452,269,366,2
203,236.2899837,269,366,2
224,40.48528123,269,366,2
220.5,227.5468369,269,366,2
231.5,341.7819855,269,366,2
218,246.0840964,269,366,2
242,59.11269784,269,366,2
199,22.72792184,269,366,2
228.5,284.0903999,269,366,2
219,217.0566797,269,366,2
199,473.3202558,269,366,2
208.5,0,269,366,2
225.5,167.5571842,269,366,2
198,3.414213538,269,366,2
212,30.3078208,269,366,2
206,365.40411,269,366,2
196,336.0904019,269,366,2
198.5,289.1703883,269,366,2
230.5,299.161467,269,366,2
265.5,16.48528123,269,366,2
234.5,300.4369954,269,366,2
221,240.1860279,269,366,2
251,265.3978043,269,366,2
251.5,60.28427076,269,366,2
227,22.14213514,269,366,2
229,236.4840956,269,366,2
223,193.5454106,269,366,2
210,280.6213526,269,366,2
203,2.731370831,269,366,2
238.5,392.5799675,269,366,2
218,267.1919152,269,366,2
213,383.0193318,269,366,2
242.5,8.876955199,269,366,2
208,216.3703869,269,366,2
259.5,2.8,269,366,2
237,24.97056246,269,366,2
218.5,356.8349762,269,366,2
220.5,19.31370831,269,366,2
191,15.45096664,269,366,2
188,347.476186,269,366,2
216.5,221.421353,269,366,2
229.5,10.71959581,269,366,2
235.5,3.2,269,366,2
221.5,339.7937628,269,366,2
218,356.3025936,269,366,2
201,104.9705625,269,366,2
226.5,581.2199933,269,366,2
208,3.6,269,366,2
225.5,327.6231992,269,366,2
212.5,18.37644997,269,366,2
212.5,12.29116874,269,366,2
192.5,6.828427076,269,366,2
224.5,50.98233747,269,366,2
198,8.73969686,269,366,2
209,246.0840955,269,366,2
209,362.6428831,269,366,2
212.5,17.65685415,269,366,2
215.5,230.1645,269,366,2
215.5,6.8,269,366,2
195,310.0487716,269,366,2
223,229.6958699,269,366,2
242.5,0,269,366,2
226,372.4163022,269,366,2
229.5,9.188224983,269,366,2
220,293.2605455,269,366,2
212,27.31370831,269,366,2
236,168.0292621,269,366,2
216,95.4676187,269,366,2
220,7.656854153,269,366,2
237.5,209.3645014,269,366,2
265,10.71959581,269,366,2
208.5,268.2713097,269,366,2
252,4.779898953,269,366,2
226,25.87939372,269,366,2
207.5,198.7571833,269,366,2
230.5,210.8424655,269,366,2
216,320.5742532,269,366,2
244.5,15.45096664,269,366,2
225,689.5097332,269,366,2
236.5,374.1320314,269,366,2
208.5,185.8483533,269,366,2
208.5,247.7978041,269,366,2
225,107.3803165,269,366,2
204.5,169.622363,269,366,2
223.5,312.6546573,269,366,2
226.5,0,269,366,2
202.5,0,269,366,2
216,271.3957813,269,366,2
206.5,4.779898953,269,366,2
217,0,269,366,2
205.5,267.38603,269,366,2
219.5,9.891168737,269,366,2
191.5,249.1703876,269,366,2
229.5,384.5202553,269,366,2
250,206.5395214,269,366,2
264.5,436.2554914,269,366,2
227,190.1512963,269,366,2
231.5,175.1821626,269,366,2
226,219.5634881,269,366,2
222,666.4073819,269,366,2
218,20.27939372,269,366,2
219.5,289.6723204,269,366,2
241,116.7528999,269,366,2
190,149.6223638,269,366,2
227.5,222.5527251,269,366,2
206.5,237.7791312,269,366,2
227.5,6.4,269,366,2
219.5,408.3496928,269,366,2
214.5,348.1624783,269,366,2
246,4.828427076,269,366,2
238,3.959797907,269,366,2
219,361.1275723,269,366,2
238.5,258.8840947,269,366,2
227,4.097056246,269,366,2
229,4.4,269,366,2
220,370.3746701,269,366,2
209,0,269,366,2
212,6.828427076,269,366,2
210,317.8899825,269,366,2
210.5,0,269,366,2
206,2.8,269,366,2
187,20.82842708,269,366,2
210.5,434.5015835,269,366,2
214.5,2,269,366,2
238,4,269,366,2
235,249.3174008,269,366,2
218.5,378.3746715,269,366,2
269,571.6955178,269,366,2
252,166.0617312,269,366,2
199.5,312.0903988,269,366,2
168,75.65828204,269,366,2
222.5,0,269,366,2
203,185.2909925,269,366,2
217.5,277.9066353,269,366,2
216.5,219.3194208,269,366,2
232,311.5232869,269,366,2
191.5,301.3208477,269,366,2
190,7.919595814,269,366,2
225.5,3.414213538,269,366,2
230,6.145584369,269,366,2
208.5,0,269,366,2
232,1040.73412,269,366,2
246.5,227.5468372,269,366,2
228.5,183.0822498,269,366,2
224,17.65685415,269,366,2
250.5,19.31370831,269,366,2
204,10.59411249,269,366,2
237,319.806131,272,366,2
225.5,281.161468,117,155,3
192,247.8782085,127,155,3
198.5,0,127,155,3
205.5,0,187,157,3
239.5,278.6193339,187,189,3
254,41.03919163,187,189,3
248.5,18.13380935,187,189,3
261.5,19.93969686,187,189,3
222.5,6.594112492,247,189,3
251,19.92792184,259,189,3
213.5,28.48528123,259,189,3
234.5,291.1115113,259,192,3
243.5,279.9448183,259,192,3
228,223.6639941,259,192,3
237,2,259,192,3
689,3.2,259,192,3
222,513.0347981,259,192,3
232,293.9232871,259,192,3
233.5,198.4944433,259,192,3
206.5,147.483678,265,192,3
201,210.9311949,265,192,3
195.5,2.4,265,192,3
187,177.5253076,265,192,3
221.5,3.959797907,265,192,3
215,139.9175749,265,192,3
213,320.2997361,265,192,3
207.5,12.33137083,265,192,3
215.5,180.6115992,265,192,3
198,0,265,192,3
252.5,338.575682,265,192,3
223.5,8.691168737,265,309,3
235.5,22.47350621,265,309,3
223,290.8369964,265,309,3
218,314.2879622,265,309,3
206,10.62253957,265,309,3
232,242.8840962,265,309,3
206,200.7017585,265,309,3
211.5,220.1762742,265,309,3
211,0,265,318,3
190.5,485.8776145,265,318,3
218,9.656854153,265,318,3
240,0,265,318,3
190,486.9868633,265,318,3
233.5,18.37644997,265,318,3
196.5,234.4924221,265,318,3
201.5,14.98233747,265,318,3
214.5,216.1291743,265,318,3
192,0,265,318,3
240,78.83818116,265,318,3
206.5,34.47350621,265,318,3
214.5,22.03675311,265,318,3
220.5,20.82842708,265,318,3
233.5,0,265,318,3
245,601.7994744,265,318,3
254,310.0702999,265,318,3
230.5,327.9448161,265,318,3
213,190.5527239,265,318,3
218,8.876955199,265,318,3
574,18.43675311,265,318,3
222,957.799122,265,318,3
257.5,1303.022322,265,318,3
210,681.5881176,265,318,3
247.5,7.353910398,265,318,3
227,127.566103,265,318,3
228.5,7.491168737,265,318,3
239,279.9115131,265,318,3
210,312.1527245,265,318,3
211.5,42.49015827,265,318,3
208,10.82842708,265,318,3
201.5,261.8061296,265,318,3
204.5,228.4507909,265,318,3
190,287.1350624,265,320,3
194.5,405.1407741,265,320,3
195.5,456.7005701,265,320,3
219.5,245.5807341,265,320,3
214,220.5880494,265,320,3
214,508.8481782,265,320,3
258,307.338928,265,320,3
195.5,291.9482644,265,320,3
222,372.4335457,265,320,3
195.5,5.2,265,320,3
184.5,177.2174875,265,320,3
184,151.0351493,265,320,3
165,149.5155543,265,320,3
266.5,11.58822498,265,320,3
249,11.58822498,265,320,3
243,15.41421354,265,332,3
211,13.51959581,265,332,3
217.5,11.65685415,265,332,3
242,386.6173133,265,332,3
202,5.794112492,265,332,3
228.5,23.21665206,265,332,3
212,4.097056246,265,332,3
205.5,225.5336335,265,332,3
222,299.031109,265,332,3
225.5,147.5439812,265,381,3
224,440.4731558,265,381,3
223,5.462741661,265,381,3
233.5,339.9212658,265,381,3
215,0,265,381,3
239,176.3939372,265,381,3
200,19.97644997,265,381,3
234,147.0351498,265,381,3
251.5,60.76955199,265,381,3
236.5,286.7801423,265,381,3
213,35.77401145,265,381,3
