r_value,g_value,b_value,label
206,154,71,3
216,148,27,3
209,164,84,3
207,162,126,3
213,153,16,3
202,164,97,3
218,124,60,3
207,165,89,3
211,160,83,3
201,163,110,3
210,148,86,3
215,157,93,3
200,175,41,3
215,158,108,3
196,178,58,3
192,181,66,3
187,175,75,3
210,163,63,3
193,145,56,3
208,149,93,3
230,160,102,3
225,161,94,3
211,169,107,3
205,156,63,3
213,155,108,3
207,138,63,3
217,172,110,3
218,165,113,3
222,168,106,3
203,163,69,3
205,162,67,3
210,159,72,3
218,154,60,3
215,152,52,3
222,166,96,3
216,164,106,3
224,178,110,3
216,171,106,3
198,161,88,3
199,127,65,3
204,160,75,3
209,161,68,3
199,159,78,3
187,91,67,3
225,177,121,3
217,161,106,3
227,167,116,3
212,162,97,3
195,168,82,3
201,165,70,3
213,143,18,3
220,144,17,3
216,155,111,3
219,159,43,3
217,139,87,3
204,148,101,3
220,152,91,3
206,164,107,3
219,170,108,3
217,174,106,3
212,173,109,3
208,127,88,3
208,160,76,3
214,155,45,3
209,159,68,3
208,171,92,3
213,160,58,3
199,160,93,3
213,156,34,3
206,159,95,3
197,164,100,3
200,149,109,3
204,151,90,3
229,171,105,3
215,159,67,3
212,120,64,3
210,120,65,3
209,160,90,3
188,161,100,3
193,169,69,3
202,161,99,3
209,166,102,3
211,155,94,3
212,164,106,3
210,168,95,3
213,165,82,3
222,155,61,3
212,153,90,3
207,155,94,3
211,171,91,3
204,167,52,3
217,154,87,3
219,142,79,3
222,154,63,3
222,151,73,3
222,151,73,3
208,162,93,3
198,167,94,3
220,172,79,3
208,176,98,3
211,156,87,3
230,160,113,3
217,143,59,3
214,154,91,3
204,159,98,3
208,154,89,3
225,165,90,3
214,182,118,3
211,159,55,3
203,157,45,3
211,156,41,3
203,161,110,3
209,164,103,3
208,159,58,3
209,166,127,3
213,144,102,3
212,166,121,3
214,162,116,3
205,171,77,3
198,120,66,3
227,146,26,3
216,155,46,3
207,131,68,3
197,124,65,3
212,158,49,3
208,150,108,3
188,113,64,3
220,145,70,3
219,137,71,3
215,157,73,3
200,120,72,3
219,163,43,3
202,168,64,3
216,156,33,3
217,164,49,3
217,157,40,3
207,150,72,3
215,136,53,3
221,151,72,3
212,149,17,3
218,154,13,3
222,155,96,3
209,161,103,3
205,168,70,3
202,169,76,3
205,164,65,3
212,170,88,3
206,167,67,3
224,154,11,3
199,163,81,3
214,164,93,3
203,154,73,3
216,157,77,3
216,163,92,3
195,165,110,3
198,166,110,3
212,164,82,3
214,162,73,3
197,166,55,3
212,164,96,3
213,161,86,3
203,154,64,3
207,158,20,3
213,163,50,3
209,145,36,3
213,155,62,3
214,149,89,3
202,163,111,3
217,161,70,3
206,160,103,3
217,154,13,3
208,166,117,3
206,164,55,3
214,162,42,3
218,159,39,3
203,162,38,3
208,155,29,3
211,170,60,3
203,178,84,3
212,158,108,3
203,162,114,3
206,165,112,3
211,155,113,3
203,160,60,3
209,154,32,3
209,161,81,3
207,144,22,3
212,151,18,3
209,153,12,3
198,174,82,3
217,121,81,3
196,161,11,3
203,153,11,3
202,163,39,3
179,98,81,3
221,164,112,3
221,170,112,3
231,169,107,3
202,172,90,3
215,169,69,3
213,166,63,3
227,162,97,3
205,160,59,3
221,158,14,3
212,154,11,3
219,162,77,3
215,152,112,3
202,166,90,3
204,165,87,3
211,157,71,3
223,168,115,3
227,163,112,3
209,168,48,3
233,176,109,3
225,178,125,3
208,169,46,3
209,156,37,3
224,144,36,3
211,164,106,3
208,151,36,3
213,168,90,3
210,168,90,3
208,165,85,3
205,169,43,3
212,165,46,3
210,163,88,3
222,163,112,3
218,170,109,3
224,110,66,3
229,167,106,3
191,171,65,3
200,162,75,3
215,161,65,3
214,161,66,3
202,181,107,3
211,162,76,3
209,180,107,3
205,173,97,3
213,175,96,3
212,154,100,3
201,171,56,3
222,136,75,3
201,168,77,3
203,171,76,3
221,155,32,3
216,157,58,3
221,159,51,3
211,167,82,3
215,165,65,3
214,137,67,3
206,169,82,3
195,174,66,3
191,171,91,3
210,161,109,3
203,87,61,3
202,98,71,3
210,151,98,3
213,124,63,3
223,158,81,3
206,170,89,3
218,131,70,3
214,127,68,3
235,180,141,3
209,123,69,3
202,169,77,3
219,166,77,3
208,165,87,3
202,165,85,3
204,163,97,3
214,163,88,3
225,165,73,3
201,163,73,3
225,171,123,3
212,163,61,3
200,157,106,3
230,127,78,3
222,201,154,3
211,157,79,3
210,156,82,3
207,154,67,3
210,153,64,3
208,168,91,3
212,165,86,3
214,153,22,3
226,152,31,3
213,164,83,3
203,151,94,3
219,159,108,3
214,153,101,3
193,161,103,3
190,168,107,3
224,124,60,3
198,168,105,3
216,162,67,3
219,158,64,3
212,165,76,3
212,152,12,3
218,156,65,3
212,164,70,3
204,156,72,3
206,167,77,3
214,146,52,3
201,163,81,3
224,158,112,3
218,169,127,3
218,156,104,3
