area,perimeter,height,width,label
214.0,314.06054582595823,132,190,1
243.0,539.3641465187072,132,203,1
242.5,46.15878744125367,132,314,1
210.0,336.84877185821534,132,314,1
189.0,196.77181739807128,132,331,1
216.5,163.0233755350113,229,331,1
202.5,10.828427076339722,265,331,1
233.5,208.47434101104736,265,331,1
224.5,260.811182141304,265,331,1
233.5,56.679393720626834,265,331,1
197.5,3.6,265,331,1
219.5,24.239191627502443,265,331,1
209.0,391.9482666254044,265,331,1
222.0,242.71008439064025,265,331,1
194.5,149.45870079994202,265,333,1
216.5,226.911687374115,265,333,1
241.0,33.31370830535889,265,333,1
216.5,124.97341809272766,265,333,1
211.5,124.6018452644348,265,333,1
236.0,7.491168737411499,265,333,1
229.5,266.8036919593811,265,333,1
235.0,348.23253643512726,265,333,1
215.5,279.63699502944945,265,333,1
234.0,22.4,265,333,1
203.0,281.1232879638672,265,333,1
200.5,295.3291748046875,265,333,1
253.5,3.414213538169861,265,333,1
237.0,4.0,265,333,1
218.5,313.2619743347168,265,333,1
213.0,0.0,265,333,1
217.5,7.725483322143555,265,333,1
321.5,33.35878744125366,265,333,1
213.0,231.02135343551635,265,333,1
230.5,298.2213532447815,265,333,1
217.0,272.92917404174807,265,333,1
215.5,265.47820873260497,265,333,1
229.5,329.90259475708007,265,333,1
215.0,704.3720586776733,265,333,1
210.0,9.188224983215331,265,333,1
206.0,197.76449978351596,265,333,1
208.0,462.4751759767532,265,333,1
199.5,241.7527250289917,265,333,1
221.5,234.2213547706604,265,333,1
222.0,283.774254322052,265,333,1
239.0,522.2853482484818,265,333,1
224.0,419.1172245025635,265,333,1
203.0,347.64674935340884,265,333,1
221.0,205.30764636993408,265,333,1
198.5,1.6,265,333,1
191.5,715.8993856430054,265,333,1
212.0,369.51151151657103,265,333,1
233.0,393.7084811210632,265,333,1
242.0,65.61807994842529,265,333,1
215.0,303.74725353717804,265,333,1
189.5,2.4,265,333,1
205.5,42.18376648426056,274,333,1
183.0,1.6,274,333,1
248.5,321.35070543289186,274,333,1
217.5,313.0428846359253,274,333,1
243.5,8.662741661071777,274,333,1
199.0,138.93809309005738,274,333,1
210.0,5.462741661071777,274,333,1
198.5,306.2644100189209,274,333,1
213.5,306.55558161735536,274,333,1
207.5,21.77056245803833,274,333,1
237.5,409.7472548484802,274,333,1
205.0,349.0491868495941,274,333,1
213.5,184.0057123184204,274,333,1
223.5,25.645079135894772,274,333,1
204.5,784.1391708850861,274,333,1
210.5,901.256151676178,274,333,1
210.0,294.6331292152405,274,333,1
197.0,376.13952095508574,274,333,1
217.0,280.4134447097778,274,333,1
200.5,232.83556723594663,274,333,1
214.5,105.73321533203124,274,333,1
216.0,387.546244263649,274,333,1
218.0,283.96836614608765,274,333,1
212.5,517.0250451087952,274,333,1
219.5,762.5876982688903,274,346,1
205.5,357.0609630346298,274,346,1
228.0,646.281307888031,274,346,1
223.5,325.1330401420593,274,346,1
214.0,219.4802284240723,274,346,1
217.0,51.75878744125366,274,346,1
242.0,308.98602828979494,274,346,1
244.5,374.10847969055175,274,346,1
256.5,2.8,274,346,1
199.0,473.32025578022,274,346,1
206.0,365.404109954834,274,346,1
196.0,336.0904018878937,274,346,1
210.0,280.62135257720945,274,346,1
203.0,2.7313708305358886,274,346,1
191.0,15.45096664428711,274,346,1
188.0,347.4761860370636,274,346,1
218.0,356.3025936126709,274,346,1
198.0,8.739696860313416,274,346,1
209.0,362.6428831100464,274,346,1
195.0,310.04877161979675,274,346,1
223.0,229.69586992263797,274,346,1
226.0,372.4163022041321,274,346,1
220.0,293.260545539856,274,346,1
237.5,209.3645013809204,274,346,1
265.0,10.71959581375122,274,346,1
225.0,689.5097332477569,274,346,1
236.5,374.13203144073486,274,346,1
216.0,271.395781326294,274,346,1
217.0,0.0,274,346,1
191.5,249.1703876495361,274,346,1
231.5,175.18216257095338,274,346,1
226.0,219.5634881258011,274,346,1
241.0,116.75289993286133,274,346,1
219.5,408.3496928215027,274,346,1
210.0,317.88998250961305,274,346,1
210.5,0.0,274,346,1
206.0,2.8,274,346,1
210.5,434.5015834808349,274,346,1
235.0,249.31740083694456,274,346,1
218.5,378.374671459198,274,346,1
199.5,312.0903987884521,274,346,1
203.0,185.2909924507141,274,346,1
217.5,277.9066352844238,274,346,1
216.5,219.31942081451416,274,346,1
191.5,301.3208477497101,274,346,1
190.0,7.91959581375122,274,346,1
232.0,1040.7341197252274,274,346,1
250.5,19.313708305358887,274,346,1
204.0,10.594112491607666,274,346,1
237.0,319.8061310052872,274,346,1
248.5,18.13380935192108,274,346,1
201.0,210.9311948776245,274,346,1
195.5,2.4,274,346,1
215.5,180.6115991592407,274,346,1
198.0,0.0,274,346,1
223.0,290.8369963645935,274,346,1
206.0,10.622539567947388,274,346,1
206.0,200.701758480072,274,346,1
196.5,234.49242210388184,274,346,1
214.5,216.12917432785036,274,346,1
220.5,20.82842707633972,274,346,1
245.0,601.7994743585587,274,346,1
213.0,190.5527238845825,274,346,1
574.0,18.436753106117248,274,346,1
195.5,456.7005701065064,274,346,1
243.0,15.41421353816986,274,346,1
212.0,4.097056245803833,274,346,1
205.5,225.53363349437717,274,346,1
222.0,299.0311089515686,274,346,1
225.5,147.5439811706543,274,381,1
233.5,339.92126579284667,274,381,1
200.0,19.976449966430664,274,381,1
226.0,406.41630017757416,274,381,1
227.0,426.13203036785126,274,381,1
245.0,327.1212673187256,274,381,1
214.5,339.2958704948425,274,381,1
233.5,559.5289979696274,274,381,1
241.0,2.8,274,381,1
209.5,337.0761869430542,274,381,1
236.0,266.72328748703,274,381,1
209.0,284.8252193450928,274,381,1
201.0,273.20369091033933,274,381,1
179.5,4.097056245803833,274,381,1
212.0,171.30276732444764,274,381,1
200.0,447.30360305309296,274,381,1
203.0,346.96045565605164,274,381,1
200.0,533.058350944519,274,381,1
214.0,278.4723203659058,274,381,1
220.5,8.194112491607665,274,381,1
187.0,285.1787133216858,274,381,1
212.5,12.699494767189028,274,381,1
221.0,160.35718402862548,274,381,1
225.5,354.3040212392807,274,381,1
223.0,257.46298575401306,274,381,1
217.0,283.119837641716,274,381,1
230.5,435.4270668745041,274,381,1
219.0,191.2625659942627,274,381,1
226.0,27.79898953437805,274,381,1
204.5,260.79191637039185,274,381,1
217.5,340.33304142951965,274,381,1
208.0,440.5937614917755,274,381,1
222.5,381.99965128898623,274,381,1
217.0,245.4546588897705,274,381,1
203.0,3.414213538169861,274,381,1
223.5,36.598989367485046,274,381,1
247.0,374.4128525018692,274,381,1
214.0,312.1909044981003,274,381,1
215.0,306.642884349823,274,381,1
216.0,364.2089850902557,274,381,1
203.5,284.87231998443605,274,381,1
232.0,396.2790434360504,274,381,1
218.0,285.1801422119141,274,381,1
199.5,238.43901567459108,274,381,1
227.0,403.8893892765045,274,381,1
174.5,210.50966625213624,274,381,1
229.5,127.88224983215332,274,381,1
220.0,511.362720823288,274,381,1
217.0,327.94826459884644,274,381,1
178.5,219.1787124872208,274,381,1
181.5,3.6,274,381,1
234.5,0.0,274,381,1
213.0,289.4311079978943,274,381,1
236.0,15.899494767189026,274,381,1
228.0,61.455843687057495,275,381,1
199.5,213.76449859142303,275,381,1
179.5,6.242640614509583,275,381,1
207.5,350.9409492492676,275,381,1
233.5,353.8997376441956,275,381,1
219.5,24.97056245803833,275,381,1
217.0,0.0,275,381,1
219.0,2.0,275,381,1
207.0,30.485281229019165,275,381,1
193.5,240.2331298828125,275,381,1
223.5,99.8822494506836,275,381,1
226.0,792.9420268058777,275,381,1
248.5,18.497056245803837,275,381,1
236.5,247.7056260108948,275,381,1
228.0,180.2601282119751,275,381,1
212.5,418.7594472169876,275,381,1
248.5,6.497056245803833,275,381,1
229.0,492.3289994716644,275,381,1
259.0,285.2938488960266,275,381,1
255.0,288.9624794006348,275,381,1
266.5,324.8252201080322,275,381,1
215.0,515.2496060371399,275,381,1
246.0,29.071067690849304,275,381,1
206.0,230.82724056243896,275,381,1
248.0,9.8911687374115,275,381,1
249.0,273.5115125656128,275,381,1
224.5,335.5565917015076,275,381,1
211.0,268.40369071960447,275,381,1
203.0,3.6,275,381,1
189.0,11.588224983215332,275,381,1
186.5,226.1076467037201,275,381,1
199.0,1009.3006414175034,275,381,1
212.5,218.2213554382324,275,381,1
194.5,484.7350618839264,275,381,1
219.0,393.0193330049515,275,381,1
223.5,15.45096664428711,275,381,1
196.5,4.779898953437805,275,381,1
192.0,17.656854152679443,275,381,1
225.5,193.71942014694213,275,381,1
235.0,43.83919162750245,275,381,1
216.5,22.485281229019165,275,381,1
206.0,379.50461411476135,275,381,1
222.0,595.7087216854095,275,381,1
210.5,303.60369091033937,275,381,1
214.0,16.230865597724915,275,381,1
185.0,169.25483322143555,275,381,1
239.5,247.16836748123168,275,381,1
231.0,0.0,275,381,1
221.5,2.8284270763397217,275,381,1
230.5,13.51959581375122,275,381,1
233.0,23.725483322143557,275,381,1
189.5,28.619090580940245,275,381,1
251.5,13.51959581375122,275,381,1
224.0,4.779898953437805,275,381,1
234.0,13.34558436870575,275,381,1
234.0,395.7472544908524,275,381,1
199.0,0.0,275,381,1
235.5,742.2287364006042,275,381,1
241.5,34.490158271789554,275,381,1
235.5,156.4057119369507,275,381,1
231.5,287.5046137571335,275,381,1
236.0,4.097056245803833,275,381,1
232.0,5.794112491607666,275,381,1
219.5,372.4751759767532,275,381,1
222.0,365.98989591598513,275,381,1
249.0,357.9898945093155,275,381,1
244.5,238.11739835739132,275,381,1
243.0,157.39494733810426,275,381,1
223.5,437.8305139541626,275,381,1
246.0,199.4851053714752,275,381,1
193.5,140.19007096290588,275,381,1
226.0,0.0,275,381,1
243.0,19.42253956794739,275,381,1
224.5,509.5907299518585,275,381,1
217.5,300.08207416534424,275,381,1
227.5,281.6051206588745,275,381,1
199.5,315.49973554611205,275,381,1
246.0,8.691168737411498,275,381,1
243.5,280.5409501075745,275,381,1
248.0,298.06054496765137,275,381,1
225.5,809.0876117706299,275,381,1
216.5,854.4498479127884,275,381,1
257.5,104.2253955602646,275,381,1
189.0,475.4686951160431,275,381,1
177.5,182.6802290916443,275,381,1
192.0,139.41017174720764,275,381,1
211.5,794.9331082105637,275,381,1
225.5,21.919595813751226,275,381,1
198.5,9.071067690849304,275,381,1
202.5,562.5612927675247,275,381,1
239.0,271.99191522598267,275,381,1
237.5,0.0,275,381,1
195.0,441.3673550605774,275,381,1
230.0,293.6820731163025,275,381,1
210.5,594.1627201795578,275,381,1
218.5,283.58014097213743,275,381,1
201.0,10.594112491607666,275,381,1
209.0,551.7265604734421,275,381,1
218.5,440.7407739639282,275,381,1
170.5,209.137082862854,275,381,1
178.0,176.19982614517212,275,381,1
173.5,250.14927566051483,275,381,1
220.5,328.962478351593,275,381,1
220.0,64.72792184352875,275,381,1
227.0,488.403931760788,275,381,1
206.0,256.8355675935745,275,381,1
215.5,276.7115121841431,275,381,1
202.5,464.9291735649109,275,381,1
189.0,12.2911687374115,275,381,1
202.0,608.6936752319336,275,381,1
226.0,251.58014011383057,275,381,1
250.5,269.5683664321899,275,381,1
228.5,2.8,275,381,1
207.5,750.1897197723389,275,381,1
236.5,447.0491871833801,275,381,1
226.0,9.656854152679443,275,381,1
241.0,294.94095001220705,275,381,1
244.5,2.8,275,381,1
227.5,41.527921843528745,275,381,1
218.5,381.2030984163284,275,381,1
206.5,0.0,275,381,1
218.5,813.3994736671448,275,381,1
225.5,401.90259132385256,275,381,1
257.5,302.69973640441896,275,381,1
242.0,2.0,275,381,1
249.5,110.5269113779068,275,381,1
197.5,242.4792177915573,275,381,1
239.0,0.0,275,381,1
231.5,326.23110780715945,275,381,1
242.0,9.656854152679443,275,381,1
264.5,275.6605453491211,275,381,1
246.0,382.1736617088318,275,381,1
224.5,336.0252200126648,275,381,1
225.0,14.982337474822998,275,381,1
210.5,6.828427076339722,275,381,1
211.5,349.44573867321014,275,381,1
213.0,565.8554944753647,275,381,1
232.5,9.988224983215332,275,381,1
207.5,13.071067690849304,275,381,1
249.0,255.83111038208008,275,381,1
196.0,177.0719027996063,275,381,1
249.5,266.6095796585083,275,381,1
223.0,1003.767250227928,275,381,1
235.5,195.2424654006958,275,381,1
218.5,387.0609630346298,275,381,1
233.5,4.8,275,381,1
198.5,333.72917461395264,275,381,1
225.5,248.38014087677,275,381,1
223.5,893.2971920967102,275,381,1
198.0,71.11269772052765,275,381,1
187.5,111.57787802219391,275,381,1
250.0,319.4629839658737,275,381,1
231.5,440.0309326171875,275,381,1
233.5,363.8893908262253,275,381,1
214.0,526.6112508773804,275,381,1
235.0,7.6,275,381,1
196.5,62.27939372062683,275,381,1
200.5,574.150944185257,275,381,1
206.0,8.0,275,381,1
175.5,0.0,275,381,1
193.5,4.8,275,381,1
207.5,1848.7193799495697,275,381,1
267.0,24.582337474823,275,381,1
230.0,522.4849309444428,275,381,1
222.0,21.656854152679443,275,381,1
206.5,356.2095792770386,275,381,1
208.5,626.1960259437561,275,381,1
252.5,2.0,275,381,1
259.5,13.01076455116272,275,381,1
268.0,0.0,275,381,1
214.0,475.23783030509946,275,381,1
227.5,237.88998365402225,275,381,1
225.0,5.6,275,381,1
230.0,398.0967051029205,275,381,1
211.5,669.8376541137695,275,381,1
248.0,295.1683652877808,275,381,1
250.5,577.7848414421081,275,381,1
257.0,296.2193325042725,275,381,1
232.5,309.487962436676,275,381,1
242.0,321.65852394104,275,381,1
210.5,237.9703875541687,275,381,1
243.5,220.6518018245697,275,381,1
245.0,300.2428818702698,275,381,1
216.5,536.764324092865,275,381,1
214.0,874.2510980606079,275,381,1
216.5,293.26054430007935,275,381,1
231.0,206.08409614562987,275,381,1
192.5,223.27921795845032,275,381,1
190.5,28.67939372062683,275,381,1
197.0,397.6099972248077,275,381,1
233.0,273.8130272865295,275,381,1
117.5,2.7313708305358886,275,381,1
217.0,140.246924161911,275,381,1
222.0,290.8702984809876,275,381,1
220.0,339.4457399845124,275,381,1
222.0,6.4,275,381,1
240.5,189.2915863275528,275,381,1
210.5,170.18174459934235,275,381,1
203.0,194.737082862854,275,381,1
229.0,27.03919162750244,275,381,1
190.0,162.44103784561156,275,381,1
214.0,3.6,275,381,1
219.5,63.31370830535889,275,381,1
235.5,258.1409499168396,275,381,1
189.0,0.0,275,381,1
199.0,55.55634891986847,275,381,1
210.0,4.097056245803833,275,381,1
215.5,707.7199047803879,275,381,1
216.0,0.0,275,381,1
228.0,250.9978034973145,275,381,1
212.0,205.1689584732056,275,381,1
271.0,184.36753106117249,275,381,1
219.0,245.03312892913817,275,381,1
209.5,3.414213538169861,275,381,1
234.5,254.1978036880493,275,381,1
224.5,232.1527241706848,275,381,1
243.5,311.2820732116699,275,381,1
232.5,2.0,275,381,1
189.5,12.485281229019163,275,381,1
227.0,273.0899835586548,275,381,1
223.0,81.12792184352875,275,381,1
221.5,396.02807734012606,275,381,1
240.5,2.8284270763397217,275,381,1
237.0,290.5624788284302,275,381,1
211.0,313.8761866092682,275,381,1
226.0,241.08998317718505,275,381,1
272.0,63.91959581375122,275,381,1
230.0,3.95979790687561,275,381,1
205.0,469.76819229125977,275,381,1
242.5,777.5286479949951,275,381,1
219.5,0.0,275,381,1
202.0,330.7496934175491,275,381,1
231.0,133.25483322143555,275,381,1
216.5,5.794112491607666,275,381,1
230.0,36.91370830535889,275,381,1
202.0,217.71942062377929,275,381,1
234.0,52.55878744125366,275,381,1
226.0,309.0193330049515,275,381,1
224.0,307.8477588891983,275,381,1
177.0,277.3851938724518,275,381,1
202.0,12.8,275,381,1
219.0,4.779898953437805,275,381,1
217.0,239.1350619316101,275,381,1
207.5,41.69848430156708,275,381,1
232.5,439.9407747745514,275,381,1
258.5,0.0,275,381,1
252.5,2570.029167175293,275,381,1
235.5,48.582337474823,275,381,1
243.5,301.6958706855774,275,381,1
243.0,15.2,275,381,1
225.0,12.2911687374115,275,381,1
225.0,0.0,275,381,1
215.5,24.35634891986847,275,381,1
239.5,1067.1900243759155,275,381,1
278.0,31.2,275,381,1
213.0,37.65685415267944,275,381,1
241.0,7.725483322143555,275,381,1
221.5,72.75289993286133,129,319,2
232.0,14.125483322143555,129,319,2
265.5,25.656854152679443,149,319,2
236.0,13.988224983215332,149,320,2
190.0,195.27921867370603,149,320,2
240.0,407.78888297080994,149,320,2
225.5,2.0,149,320,2
230.0,446.6790435791016,149,320,2
232.5,23.176449966430663,149,320,2
213.0,11.2,149,320,2
238.0,580.3054488658905,149,359,2
198.5,221.82337446212767,242,359,2
201.5,3.414213538169861,242,359,2
195.0,88.09991216659546,242,359,2
224.5,30.99898920059204,242,359,2
219.0,3.95979790687561,242,359,2
232.0,139.40672388076783,242,359,2
207.5,259.7409492492676,242,359,2
245.5,38.82842707633972,242,359,2
224.0,245.7291735649109,242,359,2
222.0,0.0,242,359,2
203.0,224.78216304779053,242,359,2
219.5,187.3194211959839,242,359,2
232.5,13.51959581375122,242,359,2
221.5,297.806129693985,242,359,2
214.5,224.5076467514038,242,359,2
190.0,338.3919152021408,242,359,2
194.5,7.725483322143555,242,359,2
213.5,354.57568097114563,242,359,2
199.5,254.358611869812,242,359,2
222.0,292.79191637039185,242,359,2
224.0,29.964674949646,242,359,2
224.5,190.7336341381073,261,359,2
226.5,322.91882741451263,261,359,2
243.5,28.02497808933258,261,359,2
224.0,95.60285611152648,261,359,2
237.0,19.976449966430664,261,359,2
246.0,251.7880491256714,261,359,2
230.0,476.2741658687592,261,359,2
219.0,296.8487695693969,261,359,2
194.0,7.91959581375122,261,359,2
271.5,549.124959564209,261,359,2
215.5,359.8144557952881,261,359,2
224.5,2.8,261,359,2
219.5,7.725483322143555,261,359,2
240.0,285.92328786849976,261,359,2
195.0,241.32084786891937,265,359,2
208.0,230.6331286430359,265,359,2
230.0,6.14558436870575,265,359,2
204.5,358.21100635528563,265,359,2
264.5,100.23717069625854,265,359,2
211.0,13.285281229019166,265,359,2
229.5,403.8893904685974,265,359,2
221.0,325.0089870929718,265,359,2
197.5,180.61159954071044,265,359,2
193.0,11.656854152679443,265,359,2
185.0,210.1547451019287,265,359,2
216.5,314.5624777793884,265,359,2
208.5,162.7675308704376,265,359,2
235.5,792.0033418655396,265,366,2
213.0,243.80613052845,265,366,2
226.5,211.25423970222477,265,366,2
218.5,405.00553665161135,265,366,2
216.0,195.77484633922575,265,366,2
235.5,150.00083475112916,265,366,2
197.5,120.29402456283567,265,366,2
230.5,5.794112491607666,265,366,2
233.0,253.42135314941407,265,366,2
244.5,241.47820796966556,265,366,2
212.5,129.9508786201477,265,366,2
213.5,2.8,265,366,2
204.5,303.11983716487885,265,366,2
230.0,869.9956077575683,265,366,2
262.0,272.7939392089844,265,366,2
203.0,236.28998365402225,265,366,2
242.0,59.11269783973694,265,366,2
228.5,284.0903998613357,265,366,2
198.0,3.414213538169861,265,366,2
230.5,299.1614669561386,265,366,2
221.0,240.1860279083252,265,366,2
251.0,265.3978042602539,265,366,2
238.5,392.5799674987793,265,366,2
213.0,383.0193318128586,265,366,2
242.5,8.876955199241639,265,366,2
229.5,10.71959581375122,265,366,2
221.5,339.79376277923586,265,366,2
212.5,18.376449966430663,265,366,2
212.5,12.2911687374115,265,366,2
220.0,7.656854152679443,265,366,2
230.5,210.84246547222136,265,366,2
223.5,312.65465726852415,265,366,2
202.5,0.0,265,366,2
206.5,4.779898953437805,265,366,2
219.5,289.67232036590576,265,366,2
190.0,149.62236380577087,265,366,2
206.5,237.77913122177125,265,366,2
227.5,6.4,265,366,2
219.0,361.1275722742081,265,366,2
238.5,258.8840947151184,265,366,2
187.0,20.82842707633972,265,366,2
214.5,2.0,265,366,2
222.5,0.0,265,366,2
225.5,3.414213538169861,265,366,2
192.0,247.87820854187007,265,366,2
239.5,278.6193339347839,265,366,2
234.5,291.1115113258362,265,366,2
228.0,223.6639940738678,265,366,2
215.0,139.91757488250732,265,366,2
207.5,12.331370830535889,265,366,2
218.0,314.2879622459412,265,366,2
232.0,242.8840962409973,265,366,2
211.5,220.17627420425416,265,366,2
201.5,14.982337474822998,265,366,2
214.5,22.03675310611725,265,366,2
233.5,0.0,265,366,2
254.0,310.07029991149903,265,366,2
222.0,957.7991219520568,265,366,2
227.0,127.56610300540925,265,366,2
210.0,312.1527244567871,265,366,2
208.0,10.828427076339722,265,366,2
219.5,245.5807341337204,265,366,2
249.0,11.588224983215332,265,366,2
228.5,23.21665205955505,265,366,2
234.0,147.03514981269836,265,366,2
