r_value,g_value,b_value,label
220,153,51,1
219,125,49,1
225,136,77,1
223,147,26,1
227,152,41,1
219,157,111,1
219,166,118,1
222,160,63,1
223,162,65,1
221,100,68,1
218,161,69,1
225,159,36,1
219,153,51,1
221,157,57,1
219,153,51,1
223,149,97,1
224,163,93,1
228,123,50,1
227,150,64,1
218,153,76,1
226,162,112,1
225,153,50,1
228,149,73,1
224,149,24,1
220,152,70,1
225,166,109,1
218,157,106,1
223,165,115,1
233,137,73,1
219,166,57,1
219,161,69,1
225,159,116,1
223,163,120,1
221,162,116,1
218,124,60,1
220,161,74,1
230,160,102,1
225,161,94,1
218,165,113,1
222,168,106,1
218,154,60,1
222,166,96,1
224,178,110,1
225,177,121,1
227,167,116,1
220,144,17,1
218,154,25,1
219,159,43,1
220,152,91,1
219,170,108,1
229,171,105,1
222,155,61,1
219,142,79,1
222,154,63,1
222,151,73,1
222,151,73,1
220,172,79,1
224,162,53,1
230,160,113,1
225,165,90,1
227,146,26,1
220,145,70,1
219,137,71,1
219,163,43,1
221,151,72,1
218,154,13,1
222,155,96,1
224,154,11,1
225,167,93,1
218,159,39,1
221,164,112,1
221,170,112,1
231,169,107,1
227,162,97,1
221,158,14,1
219,162,77,1
223,168,115,1
227,163,112,1
233,176,109,1
218,151,41,1
225,178,125,1
224,144,36,1
222,163,112,1
218,170,109,1
224,110,66,1
229,167,106,1
222,136,75,1
221,155,32,1
221,159,51,1
223,158,81,1
222,166,121,1
218,131,70,1
219,166,77,1
225,165,73,1
225,171,123,1
230,127,78,1
222,201,154,1
226,152,31,1
219,159,108,1
224,124,60,1
219,158,64,1
233,149,27,1
218,156,65,1
224,158,112,1
218,169,127,1
218,156,104,1
219,165,72,1
227,139,70,1
225,162,65,1
220,129,69,1
227,157,92,1
218,126,86,1
218,165,72,1
220,156,91,1
225,141,31,1
221,147,92,1
220,156,98,1
228,163,93,1
219,162,95,1
221,148,18,1
218,150,97,1
221,130,97,1
219,171,104,1
221,152,61,1
222,157,92,1
218,155,88,1
219,161,108,1
224,164,95,1
221,149,76,1
222,155,61,1
224,150,81,1
223,157,104,1
221,155,70,1
222,161,92,1
222,149,106,1
226,148,13,1
218,160,113,1
218,160,110,1
220,171,120,1
220,145,39,1
220,152,112,1
218,135,64,1
230,148,56,1
221,132,44,1
218,154,11,1
219,159,34,1
222,160,56,1
219,159,108,1
220,157,102,1
226,158,98,1
222,148,85,1
222,154,31,1
226,156,56,1
218,161,60,1
223,150,87,1
223,148,86,1
222,148,43,1
227,157,66,1
227,167,108,1
223,150,13,1
219,159,61,1
218,161,60,1
218,127,74,1
219,160,87,1
218,165,76,1
221,165,66,1
222,159,58,1
223,158,51,1
222,163,71,1
218,155,21,1
228,161,98,1
227,154,63,1
220,182,116,1
221,162,101,1
221,116,74,1
223,153,94,1
222,157,54,1
221,150,48,1
221,163,99,1
220,159,46,1
222,155,69,1
220,150,100,1
218,161,106,1
223,155,82,1
228,163,108,1
222,148,76,1
220,138,61,1
220,163,101,1
219,163,99,1
218,147,107,1
220,158,44,1
220,169,99,1
219,151,98,1
219,142,88,1
219,151,87,1
221,164,107,1
223,152,29,1
225,150,89,1
225,159,90,1
218,155,19,1
222,139,26,1
227,153,64,1
220,164,108,1
219,160,102,1
218,121,70,1
226,128,91,1
221,131,98,1
223,162,109,1
226,161,105,1
226,155,99,1
223,112,71,1
220,170,100,1
223,159,36,1
220,152,36,1
222,155,46,1
219,151,41,1
218,140,66,1
226,145,57,1
223,164,77,1
219,135,79,1
218,155,21,1
224,147,34,1
223,147,35,1
220,170,109,1
220,162,86,1
218,168,66,1
225,150,69,1
219,158,100,1
219,152,93,1
220,157,74,1
221,123,72,1
218,144,83,1
222,179,118,1
218,157,26,1
223,157,82,1
221,150,64,1
220,171,119,1
221,140,69,1
221,152,86,1
220,150,13,1
224,160,110,1
222,161,89,1
225,152,45,1
223,175,92,1
219,162,84,1
219,157,95,1
218,159,87,1
234,157,75,1
222,132,57,1
220,150,24,1
226,157,50,1
219,161,95,1
225,162,86,1
222,164,88,1
224,155,87,1
220,165,99,1
221,151,34,1
222,154,19,1
223,148,46,1
219,155,54,1
225,159,106,1
228,155,109,1
218,151,10,1
221,159,101,1
221,150,22,1
219,154,9,1
218,154,57,1
227,143,58,1
228,148,19,1
218,158,23,1
223,143,22,1
219,160,111,1
220,151,86,1
222,140,78,1
220,151,93,1
224,158,43,1
221,161,53,1
227,159,100,1
221,158,52,1
221,157,50,1
219,115,71,1
227,161,56,1
220,134,75,1
220,158,60,1
221,117,71,1
222,170,75,1
226,152,92,1
225,144,29,1
222,164,84,1
221,127,59,1
226,150,36,1
226,145,26,1
221,158,99,1
229,147,92,1
230,142,64,1
224,141,69,1
222,145,71,1
225,149,110,1
222,175,108,1
220,150,119,1
221,156,50,1
224,155,38,1
219,152,92,1
221,147,84,1
232,147,45,1
224,166,85,1
221,141,70,1
227,166,99,1
219,132,58,1
225,166,85,1
225,165,81,1
223,163,84,1
223,161,59,1
224,163,73,1
223,154,31,1
235,145,46,1
225,140,64,1
230,150,80,1
219,156,19,1
219,119,84,1
219,155,41,1
224,148,82,1
223,170,117,1
221,155,103,1
221,164,109,1
221,166,108,1
