area,perimeter,height,width,r_value,g_value,b_value,index,label
214,314.0605458,132,190,220,153,51,13,1
243,539.3641465,132,203,219,125,49,13,1
242.5,46.15878744,132,314,225,136,77,12,1
210,336.8487719,132,314,223,147,26,10,1
189,196.7718174,132,331,227,152,41,12,1
216.5,163.0233755,229,331,219,157,111,12,1
202.5,10.82842708,265,331,219,166,118,12,1
233.5,208.474341,265,331,222,160,63,13,1
224.5,260.8111821,265,331,223,162,65,12,1
233.5,56.67939372,265,331,221,100,68,11,1
197.5,3.6,265,331,218,161,69,12,1
219.5,24.23919163,265,331,225,159,36,12,1
209,391.9482666,265,331,219,153,51,12,1
222,242.7100844,265,331,221,157,57,12,1
194.5,149.4587008,265,333,219,153,51,12,1
216.5,226.9116874,265,333,223,149,97,15,1
241,33.31370831,265,333,224,163,93,12,1
216.5,124.9734181,265,333,228,123,50,11,1
211.5,124.6018453,265,333,227,150,64,10,1
236,7.491168737,265,333,218,153,76,12,1
229.5,266.803692,265,333,226,162,112,13,1
235,348.2325364,265,333,225,153,50,10,1
215.5,279.636995,265,333,228,149,73,13,1
234,22.4,265,333,224,149,24,13,1
203,281.123288,265,333,220,152,70,14,1
200.5,295.3291748,265,333,225,166,109,12,1
253.5,3.414213538,265,333,218,157,106,12,1
237,4,265,333,223,165,115,12,1
218.5,313.2619743,265,333,233,137,73,11,1
213,0,265,333,219,166,57,11,1
217.5,7.725483322,265,333,219,161,69,12,1
321.5,33.35878744,265,333,225,159,116,13,1
213,231.0213534,265,333,223,163,120,13,1
230.5,298.2213532,265,333,221,162,116,13,1
217,272.929174,265,333,218,124,60,13,1
215.5,265.4782087,265,333,220,161,74,13,1
229.5,329.9025948,265,333,230,160,102,12,1
215,704.3720587,265,333,225,161,94,12,1
210,9.188224983,265,333,218,165,113,14,1
206,197.7644998,265,333,222,168,106,10,1
208,462.475176,265,333,218,154,60,11,1
199.5,241.752725,265,333,222,166,96,12,1
221.5,234.2213548,265,333,224,178,110,13,1
222,283.7742543,265,333,225,177,121,10,1
239,522.2853482,265,333,227,167,116,12,1
224,419.1172245,265,333,220,144,17,16,1
203,347.6467494,265,333,218,154,25,14,1
221,205.3076464,265,333,219,159,43,11,1
198.5,1.6,265,333,220,152,91,11,1
191.5,715.8993856,265,333,219,170,108,12,1
212,369.5115115,265,333,229,171,105,13,1
233,393.7084811,265,333,222,155,61,12,1
242,65.61807995,265,333,219,142,79,11,1
215,303.7472535,265,333,222,154,63,12,1
189.5,2.4,265,333,222,151,73,12,1
205.5,42.18376648,274,333,222,151,73,10,1
183,1.6,274,333,220,172,79,11,1
248.5,321.3507054,274,333,224,162,53,12,1
217.5,313.0428846,274,333,230,160,113,13,1
243.5,8.662741661,274,333,225,165,90,13,1
199,138.9380931,274,333,227,146,26,12,1
210,5.462741661,274,333,220,145,70,11,1
198.5,306.26441,274,333,219,137,71,11,1
213.5,306.5555816,274,333,219,163,43,13,1
207.5,21.77056246,274,333,221,151,72,13,1
237.5,409.7472548,274,333,218,154,13,11,1
205,349.0491868,274,333,222,155,96,14,1
213.5,184.0057123,274,333,224,154,11,13,1
223.5,25.64507914,274,333,225,167,93,12,1
204.5,784.1391709,274,333,218,159,39,13,1
210.5,901.2561517,274,333,221,164,112,12,1
210,294.6331292,274,333,221,170,112,12,1
197,376.139521,274,333,231,169,107,12,1
217,280.4134447,274,333,227,162,97,12,1
200.5,232.8355672,274,333,221,158,14,13,1
214.5,105.7332153,274,333,219,162,77,13,1
216,387.5462443,274,333,223,168,115,12,1
218,283.9683661,274,333,227,163,112,12,1
212.5,517.0250451,274,333,233,176,109,11,1
219.5,762.5876983,274,346,218,151,41,12,1
205.5,357.060963,274,346,225,178,125,11,1
228,646.2813079,274,346,224,144,36,11,1
223.5,325.1330401,274,346,222,163,112,11,1
214,219.4802284,274,346,218,170,109,13,1
217,51.75878744,274,346,224,110,66,12,1
242,308.9860283,274,346,229,167,106,12,1
244.5,374.1084797,274,346,222,136,75,12,1
256.5,2.8,274,346,221,155,32,12,1
199,473.3202558,274,346,221,159,51,13,1
206,365.40411,274,346,223,158,81,11,1
196,336.0904019,274,346,222,166,121,13,1
210,280.6213526,274,346,218,131,70,13,1
203,2.731370831,274,346,219,166,77,11,1
191,15.45096664,274,346,225,165,73,14,1
188,347.476186,274,346,225,171,123,11,1
218,356.3025936,274,346,230,127,78,13,1
198,8.73969686,274,346,222,201,154,13,1
209,362.6428831,274,346,226,152,31,13,1
195,310.0487716,274,346,219,159,108,12,1
223,229.6958699,274,346,224,124,60,12,1
226,372.4163022,274,346,219,158,64,12,1
220,293.2605455,274,346,233,149,27,11,1
237.5,209.3645014,274,346,218,156,65,12,1
265,10.71959581,274,346,224,158,112,13,1
225,689.5097332,274,346,218,169,127,12,1
236.5,374.1320314,274,346,218,156,104,12,1
216,271.3957813,274,346,219,165,72,11,1
217,0,274,346,227,139,70,12,1
191.5,249.1703876,274,346,225,162,65,12,1
231.5,175.1821626,274,346,220,129,69,11,1
226,219.5634881,274,346,227,157,92,10,1
241,116.7528999,274,346,218,126,86,12,1
219.5,408.3496928,274,346,218,165,72,11,1
210,317.8899825,274,346,220,156,91,14,1
210.5,0,274,346,225,141,31,11,1
206,2.8,274,346,221,147,92,11,1
210.5,434.5015835,274,346,220,156,98,11,1
235,249.3174008,274,346,228,163,93,13,1
218.5,378.3746715,274,346,219,162,95,12,1
199.5,312.0903988,274,346,221,148,18,13,1
203,185.2909925,274,346,218,150,97,11,1
217.5,277.9066353,274,346,221,130,97,12,1
216.5,219.3194208,274,346,219,171,104,14,1
191.5,301.3208477,274,346,221,152,61,13,1
190,7.919595814,274,346,222,157,92,13,1
232,1040.73412,274,346,218,155,88,13,1
250.5,19.31370831,274,346,219,161,108,12,1
204,10.59411249,274,346,224,164,95,11,1
237,319.806131,274,346,221,149,76,10,1
248.5,18.13380935,274,346,222,155,61,12,1
201,210.9311949,274,346,224,150,81,13,1
195.5,2.4,274,346,223,157,104,12,1
215.5,180.6115992,274,346,221,155,70,11,1
198,0,274,346,222,161,92,11,1
223,290.8369964,274,346,222,149,106,13,1
206,10.62253957,274,346,226,148,13,13,1
206,200.7017585,274,346,218,160,113,15,1
196.5,234.4924221,274,346,218,160,110,13,1
214.5,216.1291743,274,346,220,171,120,13,1
220.5,20.82842708,274,346,220,145,39,13,1
245,601.7994744,274,346,220,152,112,11,1
213,190.5527239,274,346,218,135,64,14,1
574,18.43675311,274,346,230,148,56,13,1
195.5,456.7005701,274,346,221,132,44,12,1
243,15.41421354,274,346,218,154,11,12,1
212,4.097056246,274,346,219,159,34,11,1
205.5,225.5336335,274,346,222,160,56,13,1
222,299.031109,274,346,219,159,108,12,1
225.5,147.5439812,274,381,220,157,102,12,1
233.5,339.9212658,274,381,226,158,98,11,1
200,19.97644997,274,381,222,148,85,15,1
226,406.4163002,274,381,222,154,31,11,1
227,426.1320304,274,381,226,156,56,13,1
245,327.1212673,274,381,218,161,60,12,1
214.5,339.2958705,274,381,223,150,87,12,1
233.5,559.528998,274,381,223,148,86,11,1
241,2.8,274,381,222,148,43,14,1
209.5,337.0761869,274,381,227,157,66,12,1
236,266.7232875,274,381,227,167,108,11,1
209,284.8252193,274,381,223,150,13,13,1
201,273.2036909,274,381,219,159,61,13,1
179.5,4.097056246,274,381,218,161,60,13,1
212,171.3027673,274,381,218,127,74,11,1
200,447.3036031,274,381,219,160,87,11,1
203,346.9604557,274,381,218,165,76,12,1
200,533.0583509,274,381,221,165,66,11,1
214,278.4723204,274,381,222,159,58,13,1
220.5,8.194112492,274,381,223,158,51,13,1
187,285.1787133,274,381,222,163,71,13,1
