index,r_value,g_value,b_value,path
1,235,180,141,data_v2/raw_train/grade3_6.jpg
2,235,145,46,data_v2/raw_train/grade7_198.jpg
3,234,157,75,data_v2/raw_train/grade6_181.jpg
4,233,149,27,data_v2/raw_train/grade1_215.jpg
5,233,137,73,data_v2/raw_train/grade2_89.jpg
6,233,176,109,data_v2/raw_train/grade3_290.jpg
7,232,147,45,data_v2/raw_train/grade7_155.jpg
8,231,125,51,data_v2/raw_train/grade1_77.jpg
9,231,169,107,data_v2/raw_train/grade3_276.jpg
10,231,179,102,data_v2/raw_train/grade8_125.jpg
11,231,151,60,data_v2/raw_train/grade8_176.jpg
12,230,160,102,data_v2/raw_train/grade3_116.jpg
13,230,160,113,data_v2/raw_train/grade3_19.jpg
14,230,127,78,data_v2/raw_train/grade3_71.jpg
15,230,148,56,data_v2/raw_train/grade4_220.jpg
16,230,142,64,data_v2/raw_train/grade7_107.jpg
17,230,150,80,data_v2/raw_train/grade7_207.jpg
18,230,168,80,data_v2/raw_train/grade8_123.jpg
19,230,166,86,data_v2/raw_train/grade8_177.jpg
20,230,157,79,data_v2/raw_train/grade8_236.jpg
21,229,164,61,data_v2/raw_train/grade1_45.jpg
22,229,171,120,data_v2/raw_train/grade2_174.jpg
23,229,171,105,data_v2/raw_train/grade3_164.jpg
24,229,167,106,data_v2/raw_train/grade3_304.jpg
25,229,147,92,data_v2/raw_train/grade7_106.jpg
26,229,168,117,data_v2/raw_train/grade7_31.jpg
27,228,148,19,data_v2/raw_train/grade1_271.jpg
28,228,151,26,data_v2/raw_train/grade2_254.jpg
29,228,153,51,data_v2/raw_train/grade2_255.jpg
30,228,123,50,data_v2/raw_train/grade2_72.jpg
31,228,149,73,data_v2/raw_train/grade2_8.jpg
32,228,163,93,data_v2/raw_train/grade4_138.jpg
33,228,161,98,data_v2/raw_train/grade5_108.jpg
34,228,163,108,data_v2/raw_train/grade5_181.jpg
35,228,155,109,data_v2/raw_train/grade6_212.jpg
36,228,158,45,data_v2/raw_train/grade8_144.jpg
37,228,118,47,data_v2/raw_train/grade9_187.jpg
38,227,157,66,data_v2/raw_train/grade1_232.jpg
39,227,153,64,data_v2/raw_train/grade1_242.jpg
